LOCUSTAG,SPECIES,FILENAME,CONTIG_COUNT,TOTAL_LENGTH,MIN,MAX,MEDIAN,MEAN,L50,N50,L90,N90,GC%,T2T_SCAFFOLDS,TELOMERE_FWD,TELOMERE_REV
Amyenc1,Amylocarpus encephaloides,Amyenc1,2381,46286790,1000,419988,3434,19440.06,168,74588,754,9745,44.86,0,23,31
Amylap1_1,Amylocystis lapponica,Amylap1_1,801,35500685,1007,998953,11688,44320.46,63,160229,344,14208,54.47,0,2,6
Amyrou1,Amylomyces rouxii,Amyrou1,775,45703929,1166,1138216,17394,58972.81,56,245449,358,18198,35.11,0,2,2
Anasp1,Anaeromyces robustus,Anasp1,1035,71685009,287,671251,38708,69260.88,158,141798,505,40286,16.29,0,2,4
Anobom1,Anomoporia bombycina,Anobom1,1600,44480112,1007,655317,12161,27800.07,174,66142,736,14498,43.80,0,0,1
Anomyc1,Anomoloma myceliosum,Anomyc1,59,45712503,1863,4514166,426849,774788.19,8,2169578,26,471800,45.84,0,0,0
Antav1,Anthostoma avocetta,Antav1,786,56234513,1004,4773676,2806,71545.18,15,1122808,48,179084,44.32,0,8,9
Antlo1,Antonospora locustae,Antlo1,3116,6074860,367,66173,1090,1949.57,353,2359,2316,883,47.42,0,4,5
Antser1,Fomitopsis serialis,Antser1,893,66694225,1043,1852508,30392,74685.58,76,192221,478,27495,55.75,0,0,8
Apimo1,Apiospora montagnei,Apimo1,686,47671174,1000,935021,9708,69491.51,61,234563,209,63358,52.00,0,8,11
Aplpr1,Aplosporella prunicola,Aplpr1,334,32818685,1006,1596707,6355,98259.54,14,957837,53,69981,53.75,0,8,10
Armcep1,Armillaria cepistipes,Armcep1,287,75828441,2753,6135745,20261,264210.60,8,3291351,41,214185,47.71,1,6,8
Armga1,Armillaria gallica,Armga1,319,85336812,1005,4779317,18652,267513.52,22,1035263,88,264681,43.48,0,4,10
Armlut1,Armillaria luteobubalina,Armlut1,439,97106278,1342,3687455,74395,221198.81,28,840346,208,80562,47.27,0,0,4
Armme1_1,Armillaria mellea,Armme1_1,29300,79545241,105,639705,241,2714.85,680,24647,5363,1708,39.82,0,21,39
Armost1,Armillaria solidipes,Armost1,229,58009494,1069,3399694,73140,253316.57,21,715667,82,189369,46.46,0,5,4
Armosto1,Armillaria ostoyae,Armosto1,106,60106801,4960,6405655,204615,567045.29,9,2283935,41,294811,48.33,0,8,13
Artbe1,Trichophyton benhamiae,Artbe1,68,22224160,3770,2108575,156629,326825.88,10,644461,30,288963,48.75,0,0,0
Artele1122_1,Trametes elegans,Artele1122_1,94,33812861,3365,3042039,202332,359711.29,13,721796,44,218233,58.82,0,0,13
Artfe1_2,Saccharomycopsis fermentans,Artfe1_2,46,14372669,1151,2276015,21322,312449.33,5,1064115,15,261837,34.46,0,0,1
Artol1,Orbilia oligospora,Artol1,215,40072829,2008,3323103,2929,186385.25,8,2037373,20,681077,44.33,0,2,1
Arxad1,Blastobotrys adeninivorans,Arxad1,4,11804616,1659397,4300524,3827910,2951154.00,2,3827910,4,1659397,48.11,0,0,0
Ascap1,Ascosphaera apis,Ascap1,82,20313079,1075,1592427,129110,247720.48,13,482601,37,168129,47.00,0,2,0
Ascim1,Ascobolus immersus,Ascim1,706,59529874,1001,1459691,20526,84319.93,60,268758,233,65679,48.73,0,1,1
Ascni1,Ascodesmis nigricans,Ascni1,176,27385218,1014,2969282,20697,155597.83,14,487907,52,141489,51.22,0,16,9
Ascra1,Ascochyta rabiei,Ascra1,338,34658250,20024,1160210,62230,102539.20,64,154808,221,42962,50.68,0,1,4
Ascru1,Ascoidea rubescens,Ascru1,63,17503998,1008,3341275,13828,277841.24,6,1035938,18,307815,32.77,0,0,0
Ascsa1,Ascocoryne sarcoides,Ascsa1,219,34170264,630,1148004,55453,156028.60,27,395555,88,105454,46.38,0,7,10
Ashgo1_1,Eremothecium gossypii,Ashgo1_1,7,9095748,693414,1836693,1467287,1299392.57,3,1519140,6,870771,51.79,0,0,0
Aspac1,Aspergillus aculeatus,Aspac1,660,35424414,491,3727362,1115,53673.35,8,1634707,21,602606,50.52,0,0,0
Aspacu1,Aspergillus aculeatinus,Aspacu1,121,36471649,1611,1782628,216325,301418.59,25,493913,72,169998,50.32,0,0,0
Aspalbe1,Aspergillus alliaceus,Aspalbe1,473,40140031,1001,893037,10367,84862.64,44,296126,141,80176,47.13,0,0,0
Aspalli1,Aspergillus alliaceus,Aspalli1,331,40168528,1015,1739770,7277,121355.07,24,499171,77,152365,47.08,0,0,0
Aspara19utr,Aspergillus arachidicola,Aspara19utr,451,39764385,1004,1215323,9822,88169.37,34,349923,116,74527,48.07,0,0,2
Aspave1,Aspergillus avenaceus,Aspave1,1528,33765472,1002,436534,3745,22097.82,112,79000,481,12463,45.61,0,1,5
Aspber1,Aspergillus bertholletiae,Aspber1,443,37014000,1025,597365,49707,83553.05,72,173958,220,50884,48.25,0,3,3
Aspbom1,Aspergillus bombycis,Aspbom1,450,37474605,508,1192132,18288,83276.90,46,240792,152,68859,48.79,0,4,2
Aspbr1,Aspergillus brasiliensis,Aspbr1,105,35808783,1000,4536051,15592,341036.03,6,2027382,19,475792,50.24,0,1,1
Aspbru1,Aspergillus brunneoviolaceus,Aspbru1,153,37477200,1511,899150,198752,244949.02,34,411666,93,141787,49.24,0,1,2
Aspca3,Aspergillus carbonarius,Aspca3,963,36290756,500,3093988,823,37685.10,8,1827541,22,506537,48.81,0,1,2
Aspcae1,Aspergillus caelatus,Aspcae1,729,40016351,1035,577625,29595,54892.11,102,115961,346,32448,47.56,0,2,0
Aspcal1,Aspergillus calidoustus,Aspcal1,78,41102685,1220,4695267,30557,526957.50,6,3207549,19,493161,50.47,0,0,1
Aspcam1,Aspergillus campestris,Aspcam1,62,28257496,713,5017126,14754,455766.06,6,1703432,14,822404,51.21,0,0,0
Aspcand1,Aspergillus candidus,Aspcand1,268,27317772,1017,1019001,3430,101931.99,23,391998,74,108195,51.85,0,1,2
Aspcl1,Aspergillus clavatus,Aspcl1,134,27848051,1002,4489098,1477,207821.28,5,2493640,13,851175,49.20,1,1,10
Aspcor1,Aspergillus coremiiformis,Aspcor1,2728,30132285,1000,382531,2019,11045.56,135,58658,922,3493,42.97,0,10,11
,Aspergillus costaricensis,Aspcos1,86,36947918,4179,2321262,241632,429626.95,16,817474,49,210748,47.59,0,0,0
Aspcri1,Aspergillus cristatus,Aspcri1,68,28454192,1001,5851576,9018,418444.00,4,2316641,17,423088,49.45,1,7,4
Aspell1,Aspergillus ellipticus,Aspell1,518,42866077,1067,684843,48099,82753.04,84,158998,275,42736,44.61,0,1,0
Aspeuc1,Aspergillus eucalypticola,Aspeuc1,131,34792412,786,1601794,24272,265590.93,14,865111,41,274583,49.15,0,0,1
Aspfij1,Aspergillus fijiensis,Aspfij1,149,36513906,1301,989729,155389,245059.77,28,411512,86,133724,50.06,0,0,0
Aspfl1,Aspergillus flavus,Aspfl1,128,36768047,2004,4469204,2339,287250.37,6,2388123,14,1793267,48.26,0,0,0
Aspfo1,Aspergillus luchuensis,Aspfo1,107,37468345,1194,4264968,16841,350171.45,6,2197438,17,828323,48.87,0,1,0
Aspfu1,Aspergillus fumigatus,Aspfu1,8,29388377,1833124,4918979,3948441,3673547.12,4,3948441,7,2058334,48.82,8,8,8
Aspfu_A1163_1,Aspergillus fumigatus,Aspfu_A1163_1,55,29205420,1044,4896001,3180,531007.64,4,3791214,8,1844026,49.36,0,0,0
Aspgl1,Aspergillus glaucus,Aspgl1,82,27993362,1169,1831800,110283,341382.46,10,1040687,29,287082,49.02,0,0,1
Asphet1,Aspergillus heteromorphus,Asphet1,205,35607567,967,2973322,10327,173695.45,15,657941,55,141250,48.06,0,1,0
Asphom1,Aspergillus homomorphus,Asphom1,152,34054866,1010,2001092,102088,224045.17,19,535630,64,159200,49.96,0,1,0
Aspibe1,Aspergillus ibericus,Aspibe1,116,33437983,1015,1459985,189227,288258.47,20,622403,63,171754,50.53,0,1,0
Aspind1,Aspergillus indologenus,Aspind1,334,38592838,1173,1131196,59447,115547.42,49,235731,168,59196,48.22,0,0,0
Aspjap1,Aspergillus japonicus,Aspjap1,163,36099954,1324,1444553,122459,221472.11,25,412690,89,110516,50.79,0,0,0
Aspka1_1,Aspergillus luchuensis,Aspka1_1,317,36544702,2001,2077435,5358,115282.97,14,897559,50,110204,49.04,0,0,0
Asplac1,Aspergillus niger,Asplac1,109,35855892,1057,4286543,129230,328953.14,12,878705,43,230590,49.44,0,0,0
Asplep1,Aspergillus leporis,Asplep1,615,39425861,1001,571951,30598,64107.09,82,157399,274,39510,47.55,0,3,2
Aspmin1,Aspergillus minisclerotigenes,Aspmin1,296,37064162,1005,1157468,62270,125216.76,37,298536,132,73188,48.34,0,2,0
Aspneo1,Aspergillus neoniger,Aspneo1,169,35416444,1025,1664060,37197,209564.76,18,707186,55,165081,48.75,1,5,7
Aspni7,Aspergillus niger,Aspni7,24,34853277,14100,3774411,1624955,1452219.88,6,1937564,15,948738,50.32,0,0,0
Aspni_bvT_1,Aspergillus niger,Aspni_bvT_1,133,35690699,1105,1775595,108229,268351.12,18,705420,54,198788,49.47,0,1,0
Aspnid1,Aspergillus nidulans,Aspnid1,8,30483994,2887738,4934093,3759208,3810499.25,4,3759208,7,3403833,49.27,0,3,2
Aspni_DSM_1,Aspergillus niger,Aspni_DSM_1,19,33975768,96668,3626085,1734209,1788198.32,6,2525243,13,1542301,50.31,0,0,0
Aspni_NRRL3_1,Aspergillus niger,Aspni_NRRL3_1,15,35245396,928111,4299008,1992444,2349693.07,5,2807075,12,1605158,49.92,0,0,0
Aspnom1,Aspergillus nomiae,Aspnom1,290,36713177,1010,1185848,47861,126597.16,32,332018,116,84952,48.59,0,0,1
Aspnom13137_1,Aspergillus nomiae,Aspnom13137_1,1118,36138823,203,455117,17287,32324.53,148,66657,521,20726,48.86,0,4,3
Aspnov1,Aspergillus novofumigatus,Aspnov1,62,32440129,2867,5124468,13414,523227.89,4,3768347,10,1050391,49.14,0,2,3
Aspnovo1,Aspergillus novoparasiticus,Aspnovo1,870,40857493,1000,1413740,5282,46962.64,48,276844,190,34969,48.00,0,3,0
Aspoch1,Aspergillus ochraceoroseus,Aspoch1,34,27718211,1033,6371382,12638,815241.50,4,2489623,9,1048993,44.17,3,6,7
Aspor1,Aspergillus oryzae,Aspor1,11,37882812,6938,6520266,4190347,3443892.00,4,4887096,7,3395259,47.25,0,0,0
Asppar1,Aspergillus parasiticus,Asppar1,270,38390758,1001,1233205,68262,142187.99,34,354721,116,97463,48.06,0,0,1
Asppari1,Aspergillus flavus,Asppari1,385,37617783,1004,741302,31464,97708.53,47,240665,150,72409,48.17,0,0,2
Aspph1,Aspergillus niger,Aspph1,55,35753538,1140,2828543,402947,650064.33,10,1344691,28,402947,49.48,0,1,0
Asppip1,Aspergillus piperis,Asppip1,47,35280331,3593,3339556,487126,750645.34,9,1121342,28,338204,48.99,0,0,0
Asppsec1,Aspergillus pseudocaelatus,Asppsec1,466,39651556,1005,828803,35858,85089.18,58,210129,191,56412,47.60,0,0,3
Asppsen1,Aspergillus pseudonomiae,Asppsen1,374,37780514,1000,1064673,26197,101017.42,40,271263,136,76814,48.40,0,0,1
Asppset1,Aspergillus pseudotamarii,Asppset1,249,38243929,1005,1592473,54777,153590.08,29,410003,96,104076,47.95,0,8,1
Aspram1,Aspergillus rambellii,Aspram1,4177,26435630,200,166932,803,6328.86,212,37599,921,3123,45.79,0,30,34
Aspsac1,Aspergillus saccharolyticus,Aspsac1,120,31096189,1083,1664689,125575,259134.91,16,591538,55,144084,50.23,0,0,0
Aspscl1,Aspergillus sclerotioniger,Aspscl1,138,36720365,948,1993707,32423,266089.60,15,930588,43,244594,49.25,0,0,1
Aspscle1,Aspergillus sclerotiicarbonarius,Aspscle1,166,37621264,1005,1560001,157025,226634.12,33,362770,99,114722,48.55,0,0,0
Aspser1,Aspergillus sergii,Aspser1,262,38325693,1012,1317487,55371,146281.27,33,382883,103,104344,48.23,0,1,0
Aspste1,Aspergillus steynii,Aspste1,37,37847960,1118,6713304,14960,1022917.84,4,3921250,9,1682683,49.07,0,0,0
Aspsy1,Aspergillus sydowii,Aspsy1,97,34381026,1125,5537812,10072,354443.57,5,2288531,17,787509,49.95,0,0,0
Asptaic1,Aspergillus taichungensis,Asptaic1,310,27121736,1033,490963,49044,87489.47,47,207690,143,59026,51.44,0,0,1
Asptam1,Aspergillus tamarii,Asptam1,448,38511287,1007,846017,26918,85962.69,51,214496,171,64739,47.53,0,3,1
Aspte1,Aspergillus terreus,Aspte1,26,29331195,12095,2751824,1423202,1128122.88,7,1912493,14,1353958,52.66,0,0,0
Asptra1,Aspergillus transmontanensis,Asptra1,293,39338775,1027,1098967,48585,134262.03,36,342792,115,98069,47.97,0,0,0
Asptu1,Aspergillus tubingensis,Asptu1,33,35146149,1474,4803603,63690,1065034.82,5,2949984,12,1206460,49.18,0,0,0
Aspuda1,Aspergillus udagawae,Aspuda1,1029,32185562,100,1016186,254,31278.49,25,432819,77,137217,49.63,0,15,7
Aspuva1,Aspergillus uvarum,Aspuva1,172,35850703,1058,1051428,137320,208434.32,30,396097,87,137061,50.83,0,0,0
Aspvad1,Aspergillus vadensis,Aspvad1,60,35663374,1206,3676350,476715,594389.57,11,1025125,31,411625,49.18,0,0,0
Aspve1,Aspergillus versicolor,Aspve1,51,33126810,1241,5023850,11331,649545.29,5,2487993,13,958740,50.07,0,10,5
Aspvio1,Aspergillus violaceofuscus,Aspvio1,209,36012865,1085,900532,119441,172310.36,40,288343,124,93062,51.00,0,0,0
Aspwe1,Aspergillus wentii,Aspwe1,27,31350635,1148,5070162,20875,1161134.63,4,4128426,8,2208148,47.87,3,5,8
Aspwel1,Aspergillus welwitschiae,Aspwel1,396,37511876,1010,2162797,5545,94726.96,17,757052,61,101550,49.62,0,1,0
Aspzo1,Penicilliopsis zonata,Aspzo1,260,28924210,1064,3522795,3566,111246.96,8,1068963,27,280608,48.12,0,2,2
Aulhe2,Aulographum hederae,Aulhe2,173,31983478,1109,1347584,36589,184875.60,20,529352,58,154648,51.66,0,1,0
Auramp1,Auriculariopsis ampla,Auramp1,351,49873921,1190,4714653,41291,142090.94,19,539828,146,53301,57.05,0,0,3
Aurde3_1,Auricularia subglabra,Aurde3_1,761,76853599,1000,2141343,5532,100990.27,37,618495,133,136148,50.80,0,0,1
Aurpu_var_mel1,Aureobasidium melanogenum,Aurpu_var_mel1,150,26203324,1019,2719209,9655,174688.83,10,822863,32,223154,49.84,0,6,2
Aurpu_var_nam1,Aureobasidium namibiae,Aurpu_var_nam1,47,25428601,2230,2484475,288628,541034.06,9,1074982,23,338807,51.12,0,7,7
Aurpu_var_pul1,Aureobasidium pullulans,Aurpu_var_pul1,186,29621078,1039,2687588,2344,159253.11,10,1166847,34,270959,49.96,0,6,8
Aurpu_var_sub1,Aureobasidium subglaciale,Aurpu_var_sub1,75,25796716,1128,2141954,178411,343956.21,11,821214,33,224407,50.77,0,1,0
Aurvu1,Auriscalpium vulgare,Aurvu1,1349,39647923,1001,837378,8885,29390.60,110,82970,539,12925,55.73,0,0,0
Babin1,Babjeviella inositovora,Babin1,49,15221050,1350,2639018,5219,310633.67,6,933105,15,336345,47.60,0,0,0
Bacci1,Backusella circina,Bacci1,1095,48648288,1000,1130215,4813,44427.66,78,185938,285,40296,33.37,0,3,0
Basme2finSC,Basidiobolus meristosporus,Basme2finSC,1366,89489060,3467,345098,46103,65511.76,272,106019,854,30155,42.76,1,5,275
Basun1,Basidioascus undulatus,Basun1,2992,32128072,1978,97325,7809,10737.99,649,15626,2015,5083,58.03,0,2,10
Batde5,Batrachochytrium dendrobatidis,Batde5,127,24315081,1639,4429270,7193,191457.33,6,1484462,17,561733,38.96,0,3,0
Bauco1,Baudoinia compniacensis,Bauco1,19,21876451,2076,2027063,1222139,1151392.16,7,1300637,14,1093223,54.76,13,14,16
Beaba1,Beauveria bassiana,Beaba1,235,33693936,1004,2084429,12644,143378.45,13,729568,54,101529,51.36,0,0,4
Benpoi1,Benjaminiella poitrasii,Benpoi1,20,32504669,11797,7317003,950324,1625233.45,4,3501728,9,1384698,35.06,0,0,5
Bifad1,Bifiguratus adelaidae,Bifad1,563,19478880,504,928798,10369,34598.37,44,102371,210,19694,47.66,0,10,5
Bimnz1,Bimuria novae-zelandiae,Bimnz1,321,78183505,1069,2524382,58317,243562.32,35,713565,111,231568,43.77,0,13,4
Bissp1,Bisporella sp.,Bissp1,479,56472170,1021,2026417,14295,117895.97,30,601504,123,81682,45.49,0,2,4
Bjead1_1,Bjerkandera adusta,Bjead1_1,508,42730300,2000,3319996,3665,84114.76,13,1031661,51,157278,51.61,0,1,1
Blabri1,Blastocladiella britannica,Blabri1,1504,19075314,1004,116907,7772,12683.05,254,23470,841,6336,58.61,0,0,0
Blade1,Blastomyces dermatitidis,Blade1,100,75353942,2098,8174884,145834,753539.42,8,2435518,32,503718,35.28,0,0,0
Blader1,Blastomyces dermatitidis,Blader1,27,66608683,2055,10302040,1197428,2466988.26,5,5552162,11,2312387,36.88,0,0,0
Blape1,Blastomyces percursus,Blape1,3868,32310953,1003,71402,5842,8353.40,768,12836,2514,3961,47.33,0,11,19
Blatri1,Blakeslea trispora,Blatri1,328,37513922,2038,875505,50570,114371.71,44,237021,162,52984,37.47,0,0,0
Blatri_F921_1,Blakeslea trispora,Blatri_F921_1,253,33516133,1029,1725417,20818,132474.83,22,458170,77,86487,37.53,0,1,0
Blatri_F986_2,Blakeslea trispora,Blatri_F986_2,396,32322358,1185,768314,26794,81622.12,43,218597,162,47594,37.60,0,1,1
Blugr2,Blumeria hordei,Blugr2,318,124489486,3069,9852665,23361,391476.37,8,4574654,32,752644,43.47,0,10,11
,Blugra3_16,Blugra3_16,12,140802721,3400584,19721624,11902262,11733560.08,4,15587074,9,10259397,43.71,0,3,4
BlugrR1_1,Blumeria hordei,BlugrR1_1,99,116475897,16042,9429963,358063,1176524.21,11,3906310,37,832094,43.74,0,14,6
Blyhe1,Blyttiomyces helicus,Blyhe1,8398,46472760,2000,73981,3990,5533.79,1974,6669,6404,2698,53.75,0,11,10
Bolcoc1,Boletus coccyginus,Bolcoc1,598,54939811,3452,2570961,21515,91872.59,34,513028,248,25249,48.73,0,3,5
Boled5,Boletus edulis,Boled5,594,66525535,49,2711090,38476,111995.85,29,420549,312,36634,50.31,0,0,1
Boledp1,Boletus edulis,Boledp1,478,69185680,1356,2958700,54715,144739.92,40,380211,234,58616,50.41,0,1,3
Bolvit1,Bolbitius vitellinus,Bolvit1,428,51241791,1319,2918161,40889,119723.81,20,696705,203,44598,51.53,0,0,0
Bombar1,Lasiosphaeriaceae sp.,Bombar1,12,49085029,15991,12277412,1828882,4090419.08,3,8367432,5,6302209,53.60,1,1,4
Botbo1,Botryobasidium botryosum,Botbo1,334,46674321,2001,2162810,26324,139743.48,28,444941,104,109301,51.40,0,0,0
Botci1,Botrytis cinerea,Botci1,557,42620637,498,1306028,4316,76518.20,49,261568,159,80578,39.15,0,0,4
Botcin1,Botrytis cinerea,Botcin1,118,39511426,21184,1469722,232477,334842.59,24,562011,75,164595,41.45,0,0,1
Botdo1_1,Botryosphaeria dothidea,Botdo1_1,1711,43500615,300,473293,4676,25424.09,146,86212,540,20472,54.30,0,7,2
Botmuc1,Botryozyma mucatilis,Botmuc1,158,21119431,1211,1874890,18341,133667.28,9,782022,33,73263,26.41,0,0,0
Brefa1,Bretziella fagacearum,Brefa1,9,27072536,1554111,6030604,2231147,3008059.56,3,4385535,8,1766506,47.22,8,8,9
Bulin1,Bulgaria inquinans,Bulin1,38,26108822,1041,2832131,66513,687074.26,7,1748619,14,1103816,48.89,0,3,2
Bysci1,Byssothecium circinans,Bysci1,160,49288729,1219,2118044,88360,308054.56,18,869913,59,241289,47.23,0,8,10
Bysni1,Paecilomyces niveus,Bysni1,586,36022454,1006,705283,14949,61471.76,60,185295,207,43184,47.11,0,0,0
Byssp1,Paecilomyces variotii,Byssp1,1053,29762401,100,475531,1503,28264.39,72,137200,239,30647,48.58,0,1,0
Cadsp1,Cadophora sp.,Cadsp1,1193,70459101,1000,1379531,15411,59060.44,71,236282,430,26094,45.78,0,12,19
Calco1,Calocera cornea,Calco1,545,33244933,1018,592208,19858,60999.88,65,169300,208,43896,56.32,0,2,4
Calful1,Caloscypha fulgens,Calful1,405,44839139,881,760665,50017,110713.92,56,238068,205,49247,46.14,0,2,26
Calmar1,Calycina marina,Calmar1,1318,34209217,1001,375165,12564,25955.40,173,54098,666,12212,47.62,0,3,3
Calor1,Caliciopsis orientalis,Calor1,643,28171555,336,392255,28473,43812.68,111,86295,337,26404,49.64,0,4,0
Calpu1,Calosphaeria pulchella,Calpu1,2010,37801971,307,489962,4525,18806.95,173,63770,694,11514,51.83,0,6,4
Calvi1,Calocera viscosa,Calvi1,214,29097227,1007,1238575,30216,135968.35,23,470396,72,112823,55.85,0,10,3
Canalb1,Candida albicans,Canalb1,8,14282666,949511,3188341,1799298,1785333.25,3,2231883,7,1033292,33.44,0,0,0
Cananz1,Cantharellus anzutake,Cananz1,614,120173979,1176,3330657,72691,195723.09,53,576606,303,73259,49.25,0,0,0
Canar1,[Candida] arabinofermentans,Canar1,62,13234078,1039,1544913,77876,213452.87,6,701640,23,145845,34.41,0,1,0
Canbo1,[Candida] boidinii,Canbo1,704,19278657,200,1402770,399,27384.46,21,280211,77,57815,30.90,0,12,6
Canca1,Tortispora caseinolytica,Canca1,6,9180161,3807,3117240,2610682,1530026.83,2,3113199,3,2610682,45.15,0,0,0
Candu1,Candida dubliniensis,Candu1,8,14618422,1022435,3214061,1863824,1827302.75,3,2267510,7,1073895,33.25,0,0,0
Canor1,Candida orthopsilosis,Canor1,8,12659401,613068,2936865,1591921,1582425.12,3,1644167,7,937312,36.93,0,0,0
Canpa1,Candida parapsilosis,Canpa1,9,13030174,31781,3023470,1039767,1447797.11,3,2091826,7,957321,38.68,0,0,0
Canta1,Suhomyces tanzawaensis,Canta1,16,13136204,1338,2646005,578606,821012.75,4,1512535,8,578606,45.24,0,0,0
Cante1,Yamadazyma tenuis,Cante1,25,10747050,2422,2534490,5317,429882.00,3,1222892,7,858000,42.27,0,0,0
Cantro1,Candida tropicalis,Cantro1,7,14609527,927416,2835428,2347188,2087075.29,3,2504192,6,1239682,33.21,0,0,0
Capcor1,Capronia coronata,Capcor1,11,25807613,1116,4604234,2515774,2346146.64,4,3204506,8,1470957,52.75,0,0,0
Capep1,Capronia epimyces,Capep1,18,28889638,1099,4994026,1527046,1604979.89,4,3720060,9,1527046,53.15,0,0,0
Capse1,Phialophora americana,Capse1,13,31616172,1187,6061779,1905218,2432013.23,3,4945454,7,1905218,53.71,3,6,5
Catan2,Catenaria anguillulae,Catan2,509,41337528,1044,1355699,34575,81213.22,41,217825,274,32799,56.04,0,0,6
Caupr1,Caulochytrium protostelioides,Caupr1,564,21796879,1006,308633,17397,38646.95,68,92490,251,22147,66.41,0,0,0
Caupr_SCcomb,Caulochytrium protostelioides,Caupr_SCcomb,5001,10621701,501,75205,934,2123.92,518,4486,3249,741,63.04,0,1,0
Cenge3,Cenococcum geophilum,Cenge3,268,177557160,1083,6408476,74351,662526.72,26,2235929,80,741252,37.48,0,0,2
Cepal1_1,Cephaloascus albidus,Cepal1_1,25,15275007,1022,3143289,149693,611000.28,4,1548010,10,517671,34.27,0,0,0
Cepfr1_1,Cephaloascus fragrans,Cepfr1_1,16,13697830,1334,2015069,769286,856114.38,4,1868078,8,769286,36.83,0,0,0
CerAGI,Ceratobasidium sp.,CerAGI,913,58444101,1007,2454069,7432,64013.25,44,322225,226,48444,47.17,0,7,1
